institute,quota,category,closing_rank,candidates_seen,state
NAMO Medical Education & Research Institute,AIQ,General,85166,3,
NDMC Medical College,AIQ,General,5106,4,Delhi
NEIGRIHMS,AIQ,General,16601,2,Meghalaya
NETAJI SUBHASH CHANDRA BOSE MC,AIQ,General,100004,8,
NILRATAN SIRKAR MEDICAL COLLEGE,AIQ,General,1238539,5,West Bengal
NORTH BENGAL MED.COLL,AIQ,General,133959,10,
Nalbari Medical College & Hospital Dakhingaon,AIQ,General,25960,2,Assam
No Upgradation,AIQ,General,1260223,3607,
Not Allotted.,AIQ,General,1296691,2020,
Osmania Medical College Koti,AIQ,General,8757,7,Telangana
PABITRA MOHAN PRADHAN MEDICAL COLLEGE & HOSPITAL,AIQ,General,27610,1,Odisha
PATNA MEDICAL COLLEGE,AIQ,General,6393,2,Bihar
PRAGJYOTISHPUR MEDICAL COLLEGE,AIQ,General,23549,3,
PT NEKI RAM SHARMA GOVT MEDICAL COLLEGE,AIQ,General,100838,5,
PT. B.D. SHARMA PGIMS,AIQ,General,9920,4,Haryana
Phulo Jhano Medical College,AIQ,General,136565,6,Jharkhand
Prafulla Chandra Sen Government Medical College & Hospital,AIQ,General,23090,1,West Bengal
Pt. D.D.U MEDICAL COLLEGE,AIQ,General,79136,10,Gujarat
Pt. J N M MEDICAL COLLEGE,AIQ,General,16069,6,Chhattisgarh
Pt. Jawahar Lal Nehru Govt. Med. College,AIQ,General,113394,10,Himachal Pradesh
Pt. Raghunath Murmu Med. College,AIQ,General,146965,1,Odisha
R.G. KAR MEDICAL COLLEGE,AIQ,General,15156,7,West Bengal
R.N.T. MEDICAL COLLEGE,AIQ,General,55836,8,Rajasthan
RAICHUR INST. OF MEDICAL SCI.,AIQ,General,896492,13,Karnataka
RAJENDRA INST. OF MED. SCI.,AIQ,General,89481,4,Jharkhand
RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES,AIQ,General,147831,7,
RAJIV GANDHI MEDICAL COLLEGE,AIQ,General,108496,8,Maharashtra
RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,AIQ,General,24310,5,West Bengal
REGIONAL INST OF MEDICAL SCI,AIQ,General,22377,2,Manipur
RIMS,AIQ,General,27619,12,Andhra Pradesh
RIMS Srikakulam,AIQ,General,118517,11,Andhra Pradesh
RUHS College of Medical Sciences,AIQ,General,49630,2,Rajasthan
Raiganj Government Medical College,AIQ,General,127876,6,West Bengal
Raja Rajeswari Medical College Bengaluru,AIQ,General,526412,13,Karnataka
Rajah Muthiah Medical College,AIQ,General,132020,12,Tamil Nadu
Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur,AIQ,General,109831,5,Maharashtra
Rajiv Gandhi Institute Medical Sce of Adilabad,AIQ,General,121285,6,Telangana
Rajkiya Medical College,AIQ,General,114568,5,Uttar Pradesh
Rajmata shrimati devendra kumari singhdeo government medical college,AIQ,General,25218,4,Chhattisgarh
Rangaraya Medical College,AIQ,General,139038,9,
Rani Durgavati Medical College,AIQ,General,114515,5,
Rural Medical College and PIMS,AIQ,General,139826,1,Maharashtra
S.M.S. MEDICAL COLLEGE,AIQ,General,2531,1,Rajasthan
S.N. MEDICAL COLLEGE,AIQ,General,89243,9,Uttar Pradesh
S.S. MEDICAL COLLEGE,AIQ,General,107096,11,Madhya Pradesh
SARDAR PATEL MEDICAL COLLEGE,AIQ,General,44219,2,Rajasthan
SBKS Med. Inst. and Res. Centre,AIQ,General,704085,13,Gujarat
SDU Medical College,AIQ,General,217863,4,Karnataka
SETH G.S. MEDICAL COLLEGE,AIQ,General,85260,2,Maharashtra
SH VASANT RAO NAIK GOVT.M.C.,AIQ,General,867744,12,Maharashtra
SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL,AIQ,General,20884,6,Jharkhand
SHILONG MEDICAL COLLEGE,AIQ,General,1102815,3,Meghalaya
SHIMOGA INST. OF MEDICAL SCI.,AIQ,General,122634,7,Karnataka
SHKM GMC,AIQ,General,101613,4,Haryana
SHRI ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,General,95309,6,Haryana
SHRI BHAUSAHEB HIRE GOVT. M.C.,AIQ,General,125396,10,Maharashtra
SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,AIQ,General,77081,3,Rajasthan
SILCHAR MEDICAL COLLEGE,AIQ,General,150604,8,Assam
SJP Medical College,AIQ,General,90864,6,Rajasthan
SKIMS Medical College,AIQ,General,92831,5,
SLBS Govt. Medical College,AIQ,General,86092,22,Himachal Pradesh
SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE & RESEARCH,AIQ,General,122242,7,Uttarakhand
SRI KRISHNA MEDICAL COLLEGE,AIQ,General,110205,3,Bihar
SRM Medical College and Hospital,AIQ,General,701594,20,Tamil Nadu
STANLEY MEDICAL COLLEGE,AIQ,General,70325,2,Tamil Nadu
SUH Maulana Mahmood Hasan Medical College,AIQ,General,111624,4,
SVIMS - Sri Padmavathi Medical College for Women,AIQ,General,150701,9,
SWAMI RAMANAND TiRTH RURAL M.C,AIQ,General,122369,11,Maharashtra
Sagar Dutta Medical College & Hospital,AIQ,General,127811,8,West Bengal
Saheed Laxman Nayak Med. College and Hos.,AIQ,General,24138,4,Odisha
Santosh Medical College and Hospital,AIQ,General,588923,6,Uttar Pradesh
Sarat Chandra Chattopadhyay Govt. Medical College & Hospital,AIQ,General,23387,6,West Bengal
Saveetha Medical College,AIQ,General,509812,3,
Shaheed Nirmal Mahto Medical College & Hospital,AIQ,General,19694,7,Jharkhand
Shri Atal Bihari Vajpayee Medical College & Research Institute,AIQ,General,702132,8,Karnataka
Shri Sathya Sai Medical College and Research Institute,AIQ,General,811496,16,Tamil Nadu
Siddartha Medical College,AIQ,General,137271,7,
Sree Balaji Medical College and Hospital,AIQ,General,819763,14,Tamil Nadu
Sri Jagannath Medical College & Hospital,AIQ,General,83692,1,Odisha
Sri Lakshmi Narayana Inst. of Med. Scien.,AIQ,General,811714,4,Puducherry
Sri Ramachandra Med. College and Res. Inst.,AIQ,General,333238,5,Tamil Nadu
Sri Siddhartha Academy T Begur,AIQ,General,510662,18,Karnataka
Sri Siddhartha Medical College DU,AIQ,General,402063,37,Karnataka
Sri Venkateswara Medical College,AIQ,General,137215,11,Andhra Pradesh
Sundarlal patwa Govt medical College mandsaur,AIQ,General,20010,3,
T.D. MEDICAL COLLEGE,AIQ,General,27979,1,Kerala
THANJAVUR MEDICAL COLL.,AIQ,General,26199,6,Tamil Nadu
THENI GOVT. MEDICAL COLLEGE,AIQ,General,14826,2,Tamil Nadu
THOOTHUKUDI MEDICAL COLLEGE,AIQ,General,17296,9,Tamil Nadu
TOPIWALA NATIONAL MEDICAL COLLEGE,AIQ,General,106595,8,Maharashtra
Tezpur Medical College,AIQ,General,25090,7,Assam
Thiruvannamalai MC,AIQ,General,19808,4,Tamil Nadu
Tinsukia Medical College & Hospital,AIQ,General,27130,1,Assam
Tomo Riba Institute Health and Medical Sciences,AIQ,General,23450,1,Arunachal Pradesh
UNS AUTONOMOUS STATE MEDICAL COLLEGES,AIQ,General,126062,6,
UTTARANCHAL F HOSP TRUST MC,AIQ,General,10904,2,Uttarakhand
University College of Medical Sciences,AIQ,General,14605,3,Delhi
Upgraded( NRI Priority : 1 ),AIQ,General,500150,3,
Upgraded( NRI Priority : 2 ),AIQ,General,1077971,13,
