sno,state,code,name,mgmt,renewed,increased,total
735,Gujarat,GJ/039/G/1,"Smt. N.H.L.Municipal Medical College, Ahmedabad",Government,250,0,250
736,Uttarakhand,UK/008/G/1,"Soban Singh jeena Government institute of Medical science & Research, Almora",Government,100,0,100
737,Karnataka,KA/059/P/3,SR Patil Medical College and Hospital Distt Bagalkot,Private,100,0,100
738,Tamil Nadu,TN/057/P/3,"Sree Balaji Medical College and Hospital, Chennai",Private,250,0,250
739,Kerala,KL/032/P/3,"Sree Gokulam Medical College Trust & Research Foundation, Trivandrum",Private,150,0,150
740,Tamil Nadu,TN/058/P/3,"Sree Mookambika Institute of Medical Sciences, Kanyakumari",Private,150,0,150
741,Kerala,KL/033/P/3,"Sree Narayana Instt. of Medical Sciences, Chalakka, Ernakulam",Private,150,0,150
742,Kerala,KL/034/P/3,"Sree Uthradom Thiurnal Academy of Medical Sciences, Trivandrum",Private,250,0,250
743,Madhya Pradesh,MP/031/P/4,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Private,250,0,250
744,Andhra Pradesh,AP/036/P/3,"Sri Balaji Medical College, Hospital and Research Instiutute, Chittoor",Private,150,0,150
745,Maharashtra,MH/079/G/1,"Sri Bhausaheb Hire Government Medical College, Dhule",Government,150,0,150
746,Karnataka,KA/060/P/3,Sri Chamundeshwari Medical College Hospital & Research Institute,Private,150,50,200
747,Karnataka,KA/061/P/3,"Sri Devaraj URS Medical College, Kolar",Private,200,50,250
748,Punjab,PB/012/P/3,"Sri Guru Ram Das Institute of Medical Sciences and Research, Sri Amritsar",Private,150,0,150
749,Odisha,OD/018/G/1,"Sri Jagannath Medical College & Hospital, Puri",Government,100,0,100
750,Puducherry,PY/005/P/3,"Sri Lakshmi Narayana Institute of Medical Sciences, Pondicherry",Private,250,0,250
751,Karnataka,KA/062/P/3,"Sri Madhusudan Sai Institute of Medical Sciences & Research, Chikballapur",Private,50,0,50
752,Puducherry,PY/006/P/3,"Sri Manakula Vinayagar Medical College & Hospital, Pondicherry",Private,250,0,250
753,Tamil Nadu,TN/059/P/3,"Sri Muthukumaran Medical College,Chennai",Private,150,0,150
754,Tamil Nadu,TN/060/P/3,"Sri Ramachandra Medical College & Research Institute, Chennai",Private,250,0,250
755,Karnataka,KA/063/P/3,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore",Private,150,100,250
756,Karnataka,KA/064/P/3,"Sri Siddhartha Medical College, Tumkur",Private,250,0,250
757,Tamil Nadu,TN/061/P/3,"Sri Venkateswaraa Medical College Hospital and Research Institute, Chennai",Private,250,0,250
758,Puducherry,PY/007/P/3,"Sri Venkateswaraa Medical College, Hospital & Research Centre, Pondicherry",Private,250,0,250
759,Karnataka,KA/065/P/3,"Srinivas Institute of Medical Research Centre, Srinivasnagar, Mangalore",Private,250,0,250
760,Tamil Nadu,TN/062/P/3,Srinivasan Medical College and Hospital,Private,250,0,250
761,Tamil Nadu,TN/063/P/3,"SRM Medical College Hospital & Research Centre, Kancheepuram",Private,250,0,250
762,Maharashtra,MH/080/G/1,"SRTR Medical College, Ambajogai",Government,150,0,150
763,Tamil Nadu,TN/064/P/3,"ST Peters Medical College, Hospital & Research Institute",Private,250,0,250
764,Karnataka,KA/066/P/4,"St. Johns Medical College, Bangalore",Private,150,0,150
765,Tamil Nadu,TN/065/G/1,"Stanley Medical College, Chennai",Government,250,0,250
766,Karnataka,KA/067/P/3,"Subbaiah Institute of Medical Sciences, Shimoga, Karnataka",Private,250,0,250
767,Uttar Pradesh,UP/079/P/3,"Subharti Medical College, Meerut",Private,200,0,200
768,Rajasthan,RJ/046/P/4,"Sudha Medical College, Kota, Rajasthan",Private,100,100,200
769,Madhya Pradesh,MP/032/P/3,"Sukh Sagar Medical College & Hospital, Jabalpur",Private,200,0,200
770,Madhya Pradesh,MP/033/G/1,Sundarlal Patwa Govt. Medical College,Government,100,0,100
