Uttar Pradesh|GSVM Medical College, Kanpur|250
Uttar Pradesh|Institute of Medical Sciences, BHU, Varanasi|100
Uttar Pradesh|Jawaharlal Nehru Medical College, Aligarh|150
Uttar Pradesh|Kalyan Singh Government Medical College|100
Uttar Pradesh|King George Medical University, Lucknow|250
Uttar Pradesh|LLRM Medical College, Meerut|150
Uttar Pradesh|Mahamaya Rajkiya Allopathic Medical College, Ambedkarnagar|100
Uttar Pradesh|Maharani Laxmi Bai Medical College, Jhansi|150
Uttar Pradesh|Maharshi Devraha Baba Autonomous State Medical College, Deoria|100
Uttar Pradesh|Mahatma Vidur Autonomous State Medical College|100
Uttar Pradesh|Moti Lal Nehru Medical College, Allahabad|200
Uttar Pradesh|Punyashloka Lokmata Devi Ahilyabai Holkar Autonomous State Medical College, Auraiya|100
Uttar Pradesh|Rajkiya Allopathic Medical College, Bahraich|100
Uttar Pradesh|Rajkiya Medical College Jalaun, Orai|100
Uttar Pradesh|S N Medical College, Agra|200
Uttar Pradesh|Shaikh-UL-Hind Maulana Mahmood Hasan Medical College, Saharanpur|100
Uttar Pradesh|Uma Nath Singh Autonomous State Medical College Society, Jaunpur|100
Uttar Pradesh|Uttar Pradesh University of Medical Sciences, Etawah|200
Uttarakhand|Doon Medical College, Dehradun|150
Uttarakhand|Government Medical College, Haldwani|125
Uttarakhand|Government Medical College, Haridwar|100
Uttarakhand|Soban Singh Jeena Government Institute of Medical Science & Research, Almora|100
Uttarakhand|Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt, Srinagar, Pauri Garhwal|150
West Bengal|Bankura Sammilani Medical College, Bankura|200
West Bengal|Barasat Government Medical College & Hospital|100
West Bengal|Burdwan Medical College, Burdwan|200
West Bengal|Calcutta National Medical College, Kolkata|250
West Bengal|College of Medicine and JNM Hospital, Kalyani, Nadia|150
West Bengal|College of Medicine and Sagore Dutta Hospital, Kolkata|150
